Transaction_ID,Date,Country,Product_ID,Product_Name,Category,Price_per_Unit,Quantity_Purchased,Cost_Price,Discount_Applied,Payment_Method,Customer_Age_Group,Customer_Gender,Store_Location,Sales_Rep
d3baff95-2969-4ac7-b31b-6ad335ec5777,2025-03-03,US,97d0b0a1-9178-4eda-9206-faeaaae6b0fe,Offer,Toys,314.21,2,247.08,41.39,Mobile Payment,Adult,Female,New York,Evelyn Day
8e7c57ff-9fae-4f7e-9baf-3f71732dfeae,2025-04-06,US,ffdaf2ca-1422-4c7b-a88a-68496deb0f84,Carry,Sports,161.33,1,127.84,7.85,Credit Card,Young,Male,Chicago,Latasha Neal
47f01e73-1a07-4d3e-942a-c363793f7650,2025-07-07,US,29a68711-d65c-4953-9d69-5c9c7ab336e2,Country,Electronics,182.37,5,141.52,34.25,Mobile Payment,Adult,Male,Los Angeles,John Wyatt
d3b10adb-0d9a-4c17-9de5-4c123f60051b,2025-08-07,US,960c7a45-8790-4be9-8ae7-5a047b2cfc23,Effect,Sports,167.58,8,102.94,6.45,Mobile Payment,Young,Male,New York,Thomas Gould
518a1432-5ce3-4b8c-8e91-c4ea0f8792b8,2025-04-04,US,dee7311d-9609-4e76-89bc-31a5e2616f08,Late,Home & Kitchen,97.66,6,60.08,0.72,Mobile Payment,Adult,Other,New York,Jonathan Hunt
6c67f36e-6a3e-49a6-93ce-ab748667d8f9,2025-08-07,US,dfcbf9f4-0577-4e19-94d9-032d7ce7b52a,Gun,Beauty,260.46,2,190.26,34.47,Credit Card,Adult,Female,Chicago,Kari Powell
0c8aa83e-e951-454f-a493-63a59768fd69,2025-10-09,US,4f7fe96e-a8ba-4abd-a8cf-6c170c87bc12,Agency,Home & Kitchen,470.92,10,421.12,67.97,Cash,Young,Female,Chicago,David Hernandez
ea221f22-d542-40d9-89cc-56a4b7677479,2025-01-03,US,01bcd105-95b2-4ecd-9842-0f6d120745ee,Season,Clothing,464.99,7,405.35,42.27,Cash,Young,Male,Chicago,David Obrien
a29aa8f1-a0b8-49b8-b183-e57b6a8013d1,2025-11-10,US,f7f8f6c5-177a-44f6-9107-778543d158a1,Floor,Beauty,307.48,8,249.71,19.01,Credit Card,Adult,Other,Los Angeles,Kristin Mcdaniel
4e5c323c-aaf8-4537-9a52-ea0c5ec7cb8c,2025-03-03,US,7c7adab6-6561-42a6-a912-4d525b8b5654,Experience,Beauty,333.21,5,234.33,36.9,Cash,Young,Male,Los Angeles,Brittany Weber
07f05532-9e83-4541-95dd-e53d823e4d8c,2025-11-10,US,71a53f28-7167-4582-b737-a26e09309804,Let,Toys,306.91,9,242.12,12.38,Mobile Payment,Senior,Female,Chicago,Katie Moore
409cf8ad-1c65-440b-8f77-286427e0dfd4,2025-11-12,US,733fc674-5fa8-4bd6-80a4-2fce09875e62,Clear,Sports,342.83,7,256.18,44.9,Cash,Young,Female,Los Angeles,Rebecca Reyes
b1a76c56-c6ce-4ecb-8559-7dd11f4e91e9,2025-05-07,US,c6da480b-7d5f-41c3-8fd8-2369707a64d0,Human,Beauty,137.22,6,123.35,1.66,Credit Card,Senior,Female,New York,April Harding
